Username,Text,Hashtags,Followers,Friends
MeOnAJourney, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",4416,3697
CareliLeah, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",73,403
Karlchr00566546, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",22,106
neaubreau," - Breonna Taylor 
- Elijah McClain 
- Ahmaud Arbery 
- Trayvon Martin 
- George Floyd 
- Philando Castile
- Tamir Rice…",,1638,1490
daily_misogyny," - Breonna Taylor 
- Elijah McClain 
- Ahmaud Arbery 
- Trayvon Martin 
- George Floyd 
- Philando Castile
- Tamir Rice…",,230,909
atU14CenRFo9nf6,"#Lebanon #Hezbollah #Beirut #iran #iraq #Palestine 
america # #Usa #trump #biden #Democrat# Republican 

Hezbollah… https://t.co/pRLBOvBbAZ","['Lebanon', 'Hezbollah', 'Beirut', 'iran', 'iraq', 'Palestine', 'Usa', 'trump', 'biden']",61,18
GGh35262018,"RT @MariaTeresa1: Maria Teresa Kumar: Trump ‘directly responsible for the cause of death’

February 7th Trump admitted that #COVID was more…",['COVID'],14,223
Lnr57, @CulliverThomas @annwentzlv @N1NOBROWN @alecpalmer__ You IGNORE Trump's actions that have ALREADY helped black education &amp;…,,42555,45317
gibbo9301,"Looking for a #TRUMP wig for my Golden Retriever , any suggestions in where to get one? #MAGA2020  don’t know what’… https://t.co/q26zP2NcxD","['TRUMP', 'MAGA2020']",2451,4528
euphoniYum," National guard with a tank, state police and RPD in riot gear to battle umbrellas and water bottles. 

#justiceforDaniel…",,279,1506
roberto2_lamela,"@realDonaldTrump Bullshit! = #Trump et

The worst president in the history of the united states! https://t.co/KW6mFKtXxD",['Trump'],731,836
clarissar2003,@NFL @Jaguars @FlightConley Have these officers sacrificed enough to be on the back of your helmets?… https://t.co/rr6pN2K8dO,,92,329
LefeverGuy,"#BlackLivesMatter If black lives really mattered; 
they’d be tearing down crack houses instead of statues.",['BlackLivesMatter'],0,10
DanielStrength," Oh look another Leftist/#Antifa Supporter who blatantly and OPENLY supports Child Porn 🥴

Big shocker. 

Weird that the…",['Antifa'],533,1175
